No.,名称,经度(度),纬度(度),高程(米),距离(千米),备注
106,0,104.206986832,30.566631002,509.960,0.53000,
107,0,104.207036033,30.566616133,510.317,0.53500,
108,0,104.207085234,30.566601263,510.289,0.54000,
109,0,104.207134435,30.566586394,510.241,0.54500,
110,0,104.207183635,30.566571524,510.261,0.55000,
111,0,104.207232836,30.566556655,510.161,0.55500,
112,0,104.207282037,30.566541785,509.879,0.56000,
113,0,104.207331238,30.566526915,509.416,0.56500,
114,0,104.207380439,30.566512046,508.956,0.57000,
115,0,104.207429639,30.566497176,508.513,0.57500,
116,0,104.207478840,30.566482306,508.072,0.58000,
117,0,104.207528041,30.566467437,507.630,0.58500,
118,0,104.207577242,30.566452567,507.125,0.59000,
119,0,104.207626442,30.566437697,506.569,0.59500,
120,0,104.207675643,30.566422827,505.992,0.60000,
121,0,104.207724844,30.566407958,505.413,0.60500,
122,0,104.207774045,30.566393088,504.533,0.61000,
123,0,104.207823245,30.566378218,503.743,0.61500,
124,0,104.207872446,30.566363348,502.995,0.62000,
125,0,104.207921646,30.566348478,502.446,0.62500,
126,0,104.207970847,30.566333608,502.127,0.63000,
127,0,104.208020048,30.566318738,501.827,0.63500,
128,0,104.208069248,30.566303869,501.553,0.64000,
129,0,104.208118449,30.566288999,501.856,0.64500,
130,0,104.208167649,30.566274129,502.172,0.65000,
131,0,104.208216850,30.566259259,502.447,0.65500,
132,0,104.208266050,30.566244389,502.648,0.66000,
133,0,104.208315251,30.566229519,502.783,0.66500,
134,0,104.208364452,30.566214649,502.986,0.67000,
135,0,104.208413652,30.566199779,503.159,0.67500,
136,0,104.208462852,30.566184909,503.267,0.68000,
137,0,104.208512053,30.566170039,503.440,0.68500,
138,0,104.208561253,30.566155168,503.669,0.69000,
139,0,104.208610454,30.566140298,504.023,0.69500,
140,0,104.208659654,30.566125428,504.447,0.70000,
141,0,104.208708855,30.566110558,504.922,0.70500,
142,0,104.208758055,30.566095688,505.399,0.71000,
143,0,104.208807255,30.566080818,505.332,0.71500,
144,0,104.208856456,30.566065947,505.243,0.72000,
145,0,104.208905656,30.566051077,505.062,0.72500,
146,0,104.208954856,30.566036207,504.901,0.73000,
147,0,104.209004057,30.566021337,504.691,0.73500,
148,0,104.209053257,30.566006466,504.480,0.74000,
149,0,104.209102457,30.565991596,504.269,0.74500,
150,0,104.209151657,30.565976726,504.059,0.75000,
151,0,104.209200858,30.565961855,503.852,0.75500,
152,0,104.209250058,30.565946985,503.637,0.76000,
153,0,104.209299258,30.565932115,503.498,0.76500,
154,0,104.209348458,30.565917244,503.395,0.77000,
155,0,104.209397659,30.565902374,503.316,0.77500,
156,0,104.209446859,30.565887503,503.248,0.78000,
157,0,104.209496059,30.565872633,503.285,0.78500,
158,0,104.209545259,30.565857762,503.322,0.79000,
159,0,104.209594459,30.565842892,503.359,0.79500,
160,0,104.209643659,30.565828021,503.396,0.80000,
161,0,104.209692859,30.565813151,503.434,0.80500,
162,0,104.209742059,30.565798280,503.485,0.81000,
163,0,104.209791260,30.565783410,503.549,0.81500,
164,0,104.209840460,30.565768539,503.653,0.82000,
165,0,104.209889660,30.565753669,503.752,0.82500,
166,0,104.209938860,30.565738798,503.887,0.83000,
167,0,104.209988060,30.565723927,504.147,0.83500,
168,0,104.210037260,30.565709057,504.476,0.84000,
169,0,104.210086460,30.565694186,504.880,0.84500,
170,0,104.210135660,30.565679315,505.233,0.85000,
171,0,104.210184859,30.565664445,505.505,0.85500,
172,0,104.210234059,30.565649574,505.822,0.86000,
173,0,104.210283259,30.565634703,506.155,0.86500,
174,0,104.210332459,30.565619832,506.376,0.87000,
175,0,104.210381659,30.565604962,506.537,0.87500,
176,0,104.210430859,30.565590091,506.698,0.88000,
177,0,104.210480059,30.565575220,506.813,0.88500,
178,0,104.210529259,30.565560349,506.749,0.89000,
179,0,104.210578459,30.565545478,506.650,0.89500,
180,0,104.210627658,30.565530607,506.495,0.90000,
181,0,104.210676858,30.565515736,506.442,0.90500,
182,0,104.210726058,30.565500866,506.416,0.91000,
183,0,104.210775258,30.565485995,506.337,0.91500,
184,0,104.210824457,30.565471124,506.325,0.92000,
185,0,104.210873657,30.565456253,506.500,0.92500,
186,0,104.210922857,30.565441382,506.675,0.93000,
187,0,104.210972057,30.565426511,506.850,0.93500,
188,0,104.211021256,30.565411640,507.103,0.94000,
189,0,104.211070456,30.565396769,507.375,0.94500,
190,0,104.211119656,30.565381897,507.673,0.95000,
191,0,104.211168855,30.565367026,507.950,0.95500,
192,0,104.211218055,30.565352155,508.149,0.96000,
193,0,104.211267255,30.565337284,508.360,0.96500,
194,0,104.211316454,30.565322413,508.573,0.97000,
195,0,104.211365654,30.565307542,508.895,0.97500,
196,0,104.211414853,30.565292671,509.262,0.98000,
197,0,104.211464053,30.565277799,509.665,0.98500,
198,0,104.211513252,30.565262928,510.125,0.99000,
199,0,104.211562452,30.565248057,510.737,0.99500,
200,0,104.211611651,30.565233186,511.354,1.00000,
201,0,104.211660851,30.565218314,512.031,1.00500,
202,0,104.211710050,30.565203443,512.764,1.01000,
203,0,104.211759250,30.565188572,513.501,1.01500,
204,0,104.211808449,30.565173701,514.239,1.02000,
205,0,104.211857649,30.565158829,514.847,1.02500,
