No.,名称,经度(度),纬度(度),高程(米),距离(千米),备注
2053,0,104.187140627,30.726694799,500.311,71.85500,
2054,0,104.187338523,30.726429428,500.169,71.89000,
2055,0,104.187536418,30.726164057,500.027,71.92500,
2056,0,104.187734313,30.725898686,499.884,71.96000,
2057,0,104.187932205,30.725633315,499.742,71.99500,
2058,0,104.188130097,30.725367944,499.600,72.03000,
2059,0,104.188327988,30.725102572,500.431,72.06500,
2060,0,104.188525878,30.724837199,501.535,72.10000,
2061,0,104.188723766,30.724571827,502.639,72.13500,
2062,0,104.188921654,30.724306454,503.449,72.17000,
2063,0,104.189119540,30.724041081,503.814,72.20500,
2064,0,104.189317425,30.723775708,504.178,72.24000,
2065,0,104.189515310,30.723510334,504.543,72.27500,
2066,0,104.189713193,30.723244960,504.908,72.31000,
2067,0,104.189911075,30.722979585,505.273,72.34500,
2068,0,104.190108956,30.722714211,504.917,72.38000,
2069,0,104.190306836,30.722448836,504.467,72.41500,
2070,0,104.190504714,30.722183461,504.017,72.45000,
2071,0,104.190702592,30.721918085,503.567,72.48500,
2072,0,104.190900468,30.721652709,503.117,72.52000,
2073,0,104.191098344,30.721387333,502.667,72.55500,
2074,0,104.191296218,30.721121957,502.217,72.59000,
2075,0,104.191494092,30.720856580,501.767,72.62500,
2076,0,104.191691964,30.720591203,501.480,72.66000,
2077,0,104.191889835,30.720325826,501.306,72.69500,
2078,0,104.192087705,30.720060448,501.253,72.73000,
2079,0,104.192285574,30.719795070,501.200,72.76500,
2080,0,104.192483442,30.719529692,501.146,72.80000,
2081,0,104.192681308,30.719264313,501.093,72.83500,
2082,0,104.192879174,30.718998934,501.040,72.87000,
2083,0,104.193077039,30.718733555,500.987,72.90500,
2084,0,104.193274902,30.718468176,500.933,72.94000,
2085,0,104.193472764,30.718202796,500.857,72.97500,
2086,0,104.193670626,30.717937416,500.539,73.01000,
2087,0,104.193868486,30.717672035,500.221,73.04500,
2088,0,104.194066345,30.717406655,499.903,73.08000,
2089,0,104.194264203,30.717141274,499.585,73.11500,
2090,0,104.194462060,30.716875893,499.164,73.15000,
2091,0,104.194659916,30.716610511,498.725,73.18500,
2092,0,104.194857770,30.716345129,498.286,73.22000,
2093,0,104.195055624,30.716079747,497.847,73.25500,
2094,0,104.195253476,30.715814364,497.510,73.29000,
2095,0,104.195451328,30.715548982,497.606,73.32500,
2096,0,104.195649178,30.715283599,497.702,73.36000,
2097,0,104.195847028,30.715018215,497.798,73.39500,
2098,0,104.196044876,30.714752832,497.894,73.43000,
2099,0,104.196242723,30.714487448,497.991,73.46500,
2100,0,104.196440569,30.714222063,498.087,73.50000,
2101,0,104.196638414,30.713956679,498.183,73.53500,
2102,0,104.196836257,30.713691294,498.252,73.57000,
2103,0,104.197034100,30.713425909,498.115,73.60500,
2104,0,104.197231942,30.713160523,497.652,73.64000,
2105,0,104.197429782,30.712895137,497.233,73.67500,
2106,0,104.197627622,30.712629751,496.815,73.71000,
2107,0,104.197825460,30.712364365,496.396,73.74500,
2108,0,104.198023297,30.712098978,495.977,73.78000,
2109,0,104.198221133,30.711833591,495.559,73.81500,
2110,0,104.198418969,30.711568204,495.140,73.85000,
2111,0,104.198616803,30.711302816,494.721,73.88500,
2112,0,104.198814635,30.711037429,494.472,73.92000,
2113,0,104.199012467,30.710772040,494.479,73.95500,
2114,0,104.199210298,30.710506652,494.487,73.99000,
2115,0,104.199408128,30.710241263,494.495,74.02500,
2116,0,104.199605956,30.709975874,494.503,74.06000,
2117,0,104.199803783,30.709710485,494.510,74.09500,
2118,0,104.200001610,30.709445095,494.383,74.13000,
2119,0,104.200199435,30.709179705,494.236,74.16500,
2120,0,104.200397259,30.708914315,494.089,74.20000,
2121,0,104.200595082,30.708648924,494.238,74.23500,
2122,0,104.200792904,30.708383533,494.684,74.27000,
2123,0,104.200990725,30.708118142,495.131,74.30500,
2124,0,104.201188545,30.707852750,495.578,74.34000,
2125,0,104.201386364,30.707587359,496.025,74.37500,
2126,0,104.201584181,30.707321966,496.472,74.41000,
2127,0,104.201781998,30.707056574,496.724,74.44500,
2128,0,104.201979813,30.706791181,496.763,74.48000,
2129,0,104.202177627,30.706525788,496.802,74.51500,
2130,0,104.202375441,30.706260395,496.784,74.55000,
2131,0,104.202573253,30.705995001,496.730,74.58500,
2132,0,104.202771064,30.705729608,496.444,74.62000,
2133,0,104.202968874,30.705464213,496.155,74.65500,
2134,0,104.203166683,30.705198819,495.867,74.69000,
2135,0,104.203364490,30.704933424,495.578,74.72500,
2136,0,104.203562297,30.704668029,495.290,74.76000,
2137,0,104.203760103,30.704402634,495.002,74.79500,
2138,0,104.203957907,30.704137238,494.713,74.83000,
2139,0,104.204155711,30.703871842,494.308,74.86500,
2140,0,104.204353513,30.703606446,493.855,74.90000,
2141,0,104.204551314,30.703341049,493.401,74.93500,
2142,0,104.204749114,30.703075652,492.947,74.97000,
2143,0,104.204946913,30.702810255,492.493,75.00500,
2144,0,104.205144711,30.702544857,492.040,75.04000,
2145,0,104.205342508,30.702279460,491.552,75.07500,
2146,0,104.205540304,30.702014061,490.763,75.11000,
2147,0,104.205738099,30.701748663,489.975,75.14500,
2148,0,104.205935892,30.701483264,490.384,75.18000,
2149,0,104.206133685,30.701217865,491.085,75.21500,
2150,0,104.206331476,30.700952466,491.786,75.25000,
2151,0,104.206529266,30.700687066,492.486,75.28500,
2152,0,104.206727056,30.700421667,492.832,75.32000,
2153,0,104.206924844,30.700156266,493.027,75.35500,
2154,0,104.207122631,30.699890866,493.222,75.39000,
2155,0,104.207320417,30.699625465,493.418,75.42500,
2156,0,104.207518202,30.699360064,493.613,75.46000,
2157,0,104.207715985,30.699094662,494.020,75.49500,
2158,0,104.207913768,30.698829261,494.449,75.53000,
2159,0,104.208111550,30.698563859,494.729,75.56500,
2160,0,104.208309330,30.698298456,494.466,75.60000,
2161,0,104.208507109,30.698033054,494.204,75.63500,
2162,0,104.208704888,30.697767651,493.941,75.67000,
2163,0,104.208902665,30.697502248,493.679,75.70500,
2164,0,104.209100441,30.697236844,493.416,75.74000,
2165,0,104.209298216,30.696971440,493.157,75.77500,
2166,0,104.209495990,30.696706036,493.284,75.81000,
2167,0,104.209693763,30.696440632,493.412,75.84500,
2168,0,104.209891535,30.696175227,493.539,75.88000,
2169,0,104.210089305,30.695909822,493.667,75.91500,
2170,0,104.210287075,30.695644417,493.794,75.95000,
2171,0,104.210484843,30.695379011,493.922,75.98500,
2172,0,104.210682611,30.695113605,494.049,76.02000,
2173,0,104.210880377,30.694848199,494.353,76.05500,
2174,0,104.211078142,30.694582793,494.935,76.09000,
2175,0,104.211275906,30.694317386,494.834,76.12500,
2176,0,104.211473669,30.694051979,494.734,76.16000,
2177,0,104.211671431,30.693786571,494.773,76.19500,
2178,0,104.211869192,30.693521164,494.822,76.23000,
2179,0,104.212066952,30.693255756,494.871,76.26500,
2180,0,104.212264710,30.692990347,494.921,76.30000,
2181,0,104.212462468,30.692724939,494.970,76.33500,
2182,0,104.212660225,30.692459530,495.019,76.37000,
2183,0,104.212857980,30.692194121,494.959,76.40500,
2184,0,104.213055734,30.691928711,494.488,76.44000,
2185,0,104.213253487,30.691663301,494.016,76.47500,
2186,0,104.213451240,30.691397891,493.544,76.51000,
2187,0,104.213648991,30.691132481,493.248,76.54500,
2188,0,104.213846740,30.690867070,493.176,76.58000,
2189,0,104.214044489,30.690601659,493.104,76.61500,
2190,0,104.214242237,30.690336248,493.033,76.65000,
2191,0,104.214439984,30.690070836,492.961,76.68500,
2192,0,104.214637729,30.689805425,492.833,76.72000,
2193,0,104.214835474,30.689540012,492.581,76.75500,
2194,0,104.215033217,30.689274600,492.329,76.79000,
2195,0,104.215230959,30.689009187,492.077,76.82500,
2196,0,104.215428701,30.688743774,491.825,76.86000,
2197,0,104.215626441,30.688478361,491.573,76.89500,
2198,0,104.215824180,30.688212947,491.321,76.93000,
2199,0,104.216021918,30.687947533,491.069,76.96500,
2200,0,104.216219654,30.687682119,490.817,77.00000,
2201,0,104.216417390,30.687416704,490.721,77.03500,
2202,0,104.216615125,30.687151289,490.864,77.07000,
2203,0,104.216812858,30.686885874,491.007,77.10500,
2204,0,104.217010591,30.686620459,491.149,77.14000,
2205,0,104.217208322,30.686355043,491.292,77.17500,
2206,0,104.217406052,30.686089627,491.435,77.21000,
2207,0,104.217603782,30.685824210,491.578,77.24500,
2208,0,104.217801510,30.685558794,491.721,77.28000,
2209,0,104.217999237,30.685293377,491.864,77.31500,
2210,0,104.218196963,30.685027959,492.098,77.35000,
2211,0,104.218394687,30.684762542,492.418,77.38500,
2212,0,104.218592411,30.684497124,492.738,77.42000,
2213,0,104.218790134,30.684231706,493.058,77.45500,
2214,0,104.218987855,30.683966287,493.378,77.49000,
2215,0,104.219185576,30.683700869,493.392,77.52500,
2216,0,104.219383295,30.683435449,493.247,77.56000,
2217,0,104.219581013,30.683170030,493.102,77.59500,
2218,0,104.219778731,30.682904610,492.957,77.63000,
2219,0,104.219976447,30.682639190,492.825,77.66500,
2220,0,104.220174162,30.682373770,492.700,77.70000,
2221,0,104.220371876,30.682108350,492.575,77.73500,
2222,0,104.220569588,30.681842929,492.450,77.77000,
2223,0,104.220767300,30.681577508,492.325,77.80500,
2224,0,104.220965011,30.681312086,492.200,77.84000,
2225,0,104.221162720,30.681046664,492.075,77.87500,
2226,0,104.221360429,30.680781242,491.926,77.91000,
2227,0,104.221558136,30.680515820,491.740,77.94500,
2228,0,104.221755842,30.680250397,491.005,77.98000,
2229,0,104.221953548,30.679984974,489.996,78.01500,
2230,0,104.222151252,30.679719551,488.973,78.05000,
2231,0,104.222348955,30.679454128,487.949,78.08500,
2232,0,104.222546657,30.679188704,486.925,78.12000,
2233,0,104.222744357,30.678923280,485.901,78.15500,
2234,0,104.222942057,30.678657855,484.877,78.19000,
2235,0,104.223139756,30.678392431,483.853,78.22500,
2236,0,104.223337453,30.678127006,482.830,78.26000,
2237,0,104.223535150,30.677861580,482.584,78.29500,
2238,0,104.223732845,30.677596155,482.515,78.33000,
2239,0,104.223930539,30.677330729,482.447,78.36500,
2240,0,104.224128233,30.677065302,482.379,78.40000,
2241,0,104.224325925,30.676799876,482.311,78.43500,
2242,0,104.224523616,30.676534449,482.243,78.47000,
2243,0,104.224721306,30.676269022,482.311,78.50500,
2244,0,104.224918994,30.676003595,482.400,78.54000,
2245,0,104.225116682,30.675738167,482.488,78.57500,
2246,0,104.225314369,30.675472739,483.094,78.61000,
2247,0,104.225512054,30.675207311,483.750,78.64500,
2248,0,104.225709739,30.674941882,484.406,78.68000,
2249,0,104.225907422,30.674676453,485.062,78.71500,
2250,0,104.226105104,30.674411024,485.718,78.75000,
2251,0,104.226302785,30.674145594,486.479,78.78500,
2252,0,104.226500466,30.673880164,487.298,78.82000,
2253,0,104.226698145,30.673614734,488.117,78.85500,
2254,0,104.226895822,30.673349304,488.924,78.89000,
2255,0,104.227093499,30.673083873,488.852,78.92500,
2256,0,104.227291175,30.672818442,488.779,78.96000,
2257,0,104.227488850,30.672553011,488.873,78.99500,
2258,0,104.227686523,30.672287579,488.971,79.03000,
2259,0,104.227884196,30.672022148,489.069,79.06500,
2260,0,104.228081867,30.671756715,489.166,79.10000,
2261,0,104.228279537,30.671491283,489.264,79.13500,
2262,0,104.228477206,30.671225850,489.361,79.17000,
2263,0,104.228674874,30.670960417,489.387,79.20500,
2264,0,104.228872541,30.670694984,488.861,79.24000,
2265,0,104.229070207,30.670429550,488.335,79.27500,
2266,0,104.229267872,30.670164116,487.809,79.31000,
2267,0,104.229465536,30.669898682,487.282,79.34500,
2268,0,104.229663198,30.669633247,486.756,79.38000,
2269,0,104.229860860,30.669367812,486.230,79.41500,
2270,0,104.230058520,30.669102377,485.732,79.45000,
2271,0,104.230256180,30.668836942,485.537,79.48500,
2272,0,104.230453838,30.668571506,485.296,79.52000,
2273,0,104.230651495,30.668306070,484.885,79.55500,
2274,0,104.230849151,30.668040634,484.474,79.59000,
2275,0,104.231046806,30.667775197,484.063,79.62500,
2276,0,104.231244460,30.667509760,483.941,79.66000,
2277,0,104.231442113,30.667244323,483.859,79.69500,
2278,0,104.231639765,30.666978885,483.776,79.73000,
2279,0,104.231837415,30.666713447,483.694,79.76500,
2280,0,104.232035065,30.666448009,483.611,79.80000,
